  kp gain   kd gain         mean       median       min          max   % below 20
  3.50E06   3.50E07      17.0717       6.9747    0.0000     132.6873      85.9200
  3.75E06   3.75E07      19.1144       8.4841    0.0000     166.1423      74.2673
  4.00E06   4.00E07      21.3487       7.7650    0.0000     172.7525      74.9747
  4.25E06   4.25E07      27.0142      14.1214    0.0000     179.0194      69.3452
  4.50E06   4.50E07      18.5014       6.7930    0.0000     175.2914      85.6345
  4.75E06   4.75E07      22.5880       9.5612    0.0000     179.3780      83.3579
  5.00E06   5.00E07      16.7298       6.3069    0.0000     168.6443      87.5459
  5.25E06   5.25E07      17.7600       5.4395    0.0000     173.8896      87.0636
  5.50E06   5.50E07      17.2167       7.4967    0.0000     116.4679      83.2905
  5.75E06   5.75E07      19.8083       8.9714    0.0000     169.6687      78.5900
  6.00E06   6.00E07      17.7619       6.9647    0.0000     157.1253      85.8703
  6.25E06   6.25E07      24.5803      14.4678    0.0000     173.8226      68.7689
  6.50E06   6.50E07      23.0920       8.9501    0.0000     175.6246      78.2071
  6.75E06   6.75E07      16.7449       5.7618    0.0000     179.0087      90.4200
  7.00E06   7.00E07      21.4413      10.3013    0.0000     177.2639      75.8861
  7.25E06   7.25E07      19.7527       5.7232    0.0000     167.3426      87.8969
  7.50E06   7.50E07      23.3050      11.1770    0.0000     179.9713      75.0350
  7.75E06   7.75E07      19.9103       7.0025    0.0000     177.3437      85.7728
  8.00E06   8.00E07      25.9178      11.1934    0.0000     179.5920      72.8063
  8.25E06   8.25E07      25.7019      12.1955    0.0000     161.7879      69.9729
  8.50E06   8.50E07      22.6050       8.8064    0.0000     173.9093      79.0457
  8.75E06   8.75E07      23.2322      12.4012    0.0000     165.9757      72.1396
  9.00E06   9.00E07      23.8217       8.3024    0.0000     171.1764      74.4730
  9.25E06   9.25E07      26.9584      11.7811    0.0000     172.7683      70.2938
  9.50E06   9.50E07      24.9659       8.4086    0.0000     177.8821      77.9305
  9.75E06   9.75E07      18.8331       5.6028    0.0000     168.0687      89.2214
  1.00E07   1.00E08      22.9476       8.4026    0.0000     166.2128      78.8950
  1.25E07   1.25E08      21.6361       8.1347    0.0000     170.5181      78.8347
  1.50E07   1.50E08      20.3014       6.9901    0.0000     176.4532      83.8153
  1.75E07   1.75E08      19.7706       7.3420    0.0000     174.6757      82.3064
  2.00E07   2.00E08      28.6883      14.2089    0.0000     175.6408      69.5030
  2.25E07   2.25E08      24.9855      13.5590    0.0000     178.5088      68.9959
  2.50E07   2.50E08      27.5344      15.0427    0.0000     174.6561      63.2103
  2.75E07   2.75E08      26.3719      12.8216    0.0000     178.7600      67.8044
  3.00E07   3.00E08      29.4649      19.3013    0.0000     169.8306      61.8770
  3.25E07   3.25E08      25.3501      13.5637    0.0000     162.2682      69.4959
  3.50E07   3.50E08      26.8966      12.1613    0.0000     179.7637      72.6219
  3.75E07   3.75E08      22.4546      10.3495    0.0000     165.8598      78.4358
  4.00E07   4.00E08      28.8142      15.0761    0.0000     174.4342      67.2530
  4.25E07   4.25E08      23.5335      11.0348    0.0000     166.5263      77.6610
  4.50E07   4.50E08      31.4320      18.9560    0.0000     178.4993      61.9124
  4.75E07   4.75E08      23.8088       8.2018    0.0000     167.8836      77.7443
  5.00E07   5.00E08      25.9291      12.7551    0.0000     173.8090      68.3328
  5.25E07   5.25E08      24.3936       9.3722    0.0000     175.5139      74.1378
  5.50E07   5.50E08      27.4399      14.9544    0.0000     174.3952      67.8629
  5.75E07   5.75E08      26.2220      11.8391    0.0000     177.1250      70.8505
  6.00E07   6.00E08      26.0190      14.2530    0.0000     172.5764      68.3913
  6.25E07   6.25E08      26.3257      13.7675    0.0000     172.5974      68.3948
  6.50E07   6.50E08      22.9416       9.7474    0.0000     165.6739      75.1308
  6.75E07   6.75E08      29.2685      11.5323    0.0000     179.4562      72.0722
  7.00E07   7.00E08      26.5209      11.8320    0.0000     178.4024      71.6644
  7.25E07   7.25E08      30.0050      16.9446    0.0000     170.4499      63.7423
  7.50E07   7.50E08      27.6618      13.8248    0.0000     172.6376      66.1962
  7.75E07   7.75E08      28.3327      14.6848    0.0000     179.1989      69.4729
  8.00E07   8.00E08      29.0628      13.8817    0.0000     176.4251      71.9428
  8.25E07   8.25E08      27.2806      12.9377    0.0000     175.8321      71.0793
  8.50E07   8.50E08      24.4314       8.7988    0.0000     176.6851      78.3525
  8.75E07   8.75E08      24.9857      10.6646    0.0000     172.9710      78.2088
  9.00E07   9.00E08      20.9865       6.3569    0.0000     171.9413      82.4571
  9.25E07   9.25E08      24.6397      10.1666    0.0000     168.3702      77.6663
  9.50E07   9.50E08      23.1877       9.5558    0.0000     173.8831      82.1539
  9.75E07   9.75E08      25.4717       7.8360    0.0000     176.1119      81.2408
  1.00E08   1.00E09      24.0939       9.4861    0.0000     175.9185      80.8525
  1.25E08   1.25E09      27.7133      12.4620    0.0000     178.3330      75.8365
  1.50E08   1.50E09      23.5111      10.3263    0.0000     177.9670      74.0155
  1.75E08   1.75E09      24.5865      10.8511    0.0000     168.0339      77.2620
  2.00E08   2.00E09      25.4333      11.7246    0.0000     177.6334      73.6467
  2.25E08   2.25E09      27.9530      14.5742    0.0000     175.5185      67.0083
  2.50E08   2.50E09      26.1435      13.6112    0.0000     165.8359      70.6005
  2.75E08   2.75E09      26.3245      12.0931    0.0000     176.8771      71.1502
  3.00E08   3.00E09      27.0237      12.7225    0.0000     158.6381      73.4410
  3.25E08   3.25E09      21.9200       6.4503    0.0000     172.3149      81.5458
  3.50E08   3.50E09      27.0012      13.5919    0.0000     179.1770      69.1590
  3.75E08   3.75E09      27.2928      13.1347    0.0000     176.6052      73.2300
  4.00E08   4.00E09      24.9665      10.8389    0.0000     173.2487      75.6591
  4.25E08   4.25E09      21.4854       7.6460    0.0000     175.6531      79.6823
  4.50E08   4.50E09      28.4666      11.7578    0.0000     169.8604      74.0208
  4.75E08   4.75E09      24.5790      14.2220    0.0000     163.9255      68.2353
  5.00E08   5.00E09      22.3665       7.9122    0.0000     151.5218      79.2869
  5.25E08   5.25E09      24.5833      10.6829    0.0000     162.6143      75.8471
  5.50E08   5.50E09      27.9427      15.1540    0.0000     166.2365      65.4497
  5.75E08   5.75E09      24.2676      12.4876    0.0000     152.7224      72.6875
  6.00E08   6.00E09      26.7066      10.6743    0.0000     172.4137      76.8524
  6.25E08   6.25E09      24.3400      11.5526    0.0000     178.9740      71.2300
  6.50E08   6.50E09      26.7812      12.6135    0.0000     177.1714      70.9569
  6.75E08   6.75E09      25.9242      13.7969    0.0000     164.2072      69.8151
  7.00E08   7.00E09      28.2690      15.5293    0.0000     177.5941      68.9853
  7.25E08   7.25E09      30.0129      17.0831    0.0000     179.3439      66.8044
  7.50E08   7.50E09      27.2021      15.2749    0.0000     160.5637      64.5951
  7.75E08   7.75E09      27.3522      12.0683    0.0000     179.2022      70.5899
  8.00E08   8.00E09      29.2025      16.0571    0.0000     173.4104      67.9782
  8.25E08   8.25E09      26.9509      13.7088    0.0000     169.3977      68.5828
  8.50E08   8.50E09      21.0718       7.1517    0.0000     176.8558      86.2125
  8.75E08   8.75E09      27.5558      11.5666    0.0000     169.2318      70.8630
  9.00E08   9.00E09      25.8529      10.9292    0.0000     173.6658      73.9942
  9.25E08   9.25E09      24.9517      10.8248    0.0000     176.5805      78.7018
  9.50E08   9.50E09      28.1241      14.9897    0.0000     163.1477      66.8983
  9.75E08   9.75E09      24.1551      10.9496    0.0000     163.5810      74.8737
  1.00E09   1.00E10      28.5745      12.5912    0.0000     177.4997      68.7867
  1.25E09   1.25E10      27.9377      15.2382    0.0000     172.0920      69.6732
  1.50E09   1.50E10      31.9469      22.5359    0.0000     162.1952      59.0436
  1.75E09   1.75E10      26.9745      10.8141    0.0000     169.8655      73.5900
  2.00E09   2.00E10      25.6583      11.5643    0.0000     176.1826      72.7761
  2.25E09   2.25E10      22.9910       9.1417    0.0000     171.1949      75.4978
  2.50E09   2.50E10      23.9597      10.4145    0.0000     175.1468      79.9872
  2.75E09   2.75E10      24.9853       9.3149    0.0000     155.3728      74.6609
  3.00E09   3.00E10      26.0231      12.0104    0.0000     154.6775      72.8399
  3.25E09   3.25E10      28.1613      11.8732    0.0000     179.5132      73.1095
  3.50E09   3.50E10      26.9544      12.0844    0.0000     176.9329      72.3612
  3.75E09   3.75E10      24.2074      11.2191    0.0000     162.4225      73.0226
